"Folketingsvalget 2011 for Bornholms Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"BORNHOLMS STORKREDS";27364;9801;1509;580;2011;509;681;2972;7309;1992
" ";"1. RØNNE OPSTILLINGSKREDS";13349;5251;742;312;973;245;281;1361;3291;893
" ";"Klemensker";1761;558;77;62;108;38;59;212;539;108
" ";"Rønne";9546;3952;561;218;731;172;176;922;2183;631
" ";"Hasle";2042;741;104;32;134;35;46;227;569;154
" ";"2. AAKIRKEBY OPSTILLINGSKREDS";14015;4550;767;268;1038;264;400;1611;4018;1099
" ";"Allinge";2474;766;146;49;221;50;34;315;697;196
" ";"Østermarie";2046;566;94;42;167;45;70;249;587;226
" ";"Svaneke";1582;420;123;32;127;41;37;121;469;212
" ";"Nexø";3038;1131;156;53;204;56;71;338;841;188
" ";"Pedersker";1220;371;61;16;89;16;36;189;370;72
" ";"Aakirkeby";3593;1283;181;75;219;55;152;392;1045;191
" ";"Christiansø";62;13;6;1;11;1;0;7;9;14

