"Folketingsvalget 2011 for Nordsjællands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"NORDSJÆLLANDS STORKREDS";287590;54182;33537;19765;21012;20613;1171;30279;91870;15062
" ";"1. HELSINGØR OPSTILLINGSKREDS";38445;9092;4237;2436;3289;2344;95;4519;9953;2469
" ";"Det Gamle Hovedbibliotek";5826;1385;680;321;639;364;25;577;1301;532
" ";"Montebello, Gurrevej 90";7706;2565;599;313;801;282;24;1099;1411;610
" ";"Laden, Gl. Vapnagård";4486;1322;435;209;463;206;7;612;906;320
" ";"Bølgen";3722;691;446;297;225;294;8;413;1166;182
" ";"Hornbæk Skole";3326;610;380;235;198;224;5;396;1106;172
" ";"Nygård Skole";900;137;80;55;67;85;0;128;301;47
" ";"Tikøb Klubhus";1073;170;109;74;58;75;2;126;404;55
" ";"Kvistgård Idrætsanlæg";693;146;68;27;66;40;6;107;187;45
" ";"Snekkersten Hallen";3215;694;419;242;195;206;3;336;955;165
" ";"Administrationsbygningen, Esp";3033;481;440;284;251;277;8;244;901;147
" ";"Mørdrupskolen";4465;891;581;379;326;291;7;481;1315;194
" ";"2. FREDENSBORG OPSTILLINGSKREDS";40898;5981;4942;4216;2411;3679;112;3679;14314;1549
" ";"Asminderød";3967;698;407;298;256;319;21;421;1384;162
" ";"Fredensborg";3038;385;426;300;176;301;7;237;1093;113
" ";"Humlebæk";3035;496;452;255;234;223;6;300;915;152
" ";"Baunebjerg";3061;576;450;214;269;211;9;301;811;218
" ";"Ullerød (Fredensborg opstillingskreds)";2734;507;368;236;225;205;7;236;806;143
" ";"Brønsholm";3014;526;260;231;184;223;14;378;1099;99
" ";"Niverød";2606;512;317;152;283;153;8;281;773;125
" ";"Karlebo";791;84;93;75;38;88;2;68;323;20
" ";"Nivå";2342;497;330;204;241;132;11;210;575;138
" ";"Hørsholm";4174;433;505;567;129;391;10;367;1649;122
" ";"Usserød";4390;615;541;559;152;388;7;380;1635;111
" ";"Rungsted";3024;129;293;489;42;505;2;128;1406;30
" ";"Grønnegade";323;26;25;43;19;54;0;25;122;9
" ";"Vallerød";4399;497;475;593;163;486;8;347;1723;107
" ";"3. HILLERØD OPSTILLINGSKREDS";57633;10989;6133;2936;4319;3335;515;6526;19535;3324
" ";"Frederiksborgcentret";5277;992;711;331;512;351;53;453;1427;443
" ";"Hillerødsholmsskolen";4071;989;487;254;328;201;44;328;1178;260
" ";"Brødeskov";594;96;80;44;50;49;1;46;201;26
" ";"Hammersholt";1084;197;172;70;127;68;4;79;289;78
" ";"Alsønderup";1601;279;159;92;92;105;14;187;600;72
" ";"Ullerød (Hillerød opstillingskreds)";3175;706;365;180;226;193;38;302;977;187
" ";"Nødebo";1290;213;219;95;92;115;6;89;402;59
" ";"Gadevang";773;119;145;70;45;72;1;33;230;58
" ";"Kulsvierskolen";2844;633;391;164;225;151;33;244;815;187
" ";"Skanseskolen";4258;1026;517;253;391;203;41;442;1076;307
" ";"Lille Lyngby";1365;222;129;60;85;79;7;189;535;59
" ";"Skævinge, Harløse, Strø";2478;420;200;145;147;175;10;306;992;83
" ";"Gørløse";831;155;73;46;51;67;10;109;289;31
" ";"Uvelse";900;143;98;41;54;66;2;114;341;41
" ";"Blistrup";3259;528;238;100;204;181;24;556;1258;169
" ";"Esbønderup";2129;394;214;86;172;119;9;279;702;153
" ";"Valby";384;49;35;17;24;23;2;46;165;23
" ";"Græsted";3156;539;227;77;204;134;73;410;1342;149
" ";"Annisse";1498;244;155;71;79;101;1;149;643;53
" ";"Gilleleje";4558;812;342;194;346;240;46;576;1780;222
" ";"Søborg (Hillerød opstillingskreds)";1036;156;99;37;81;59;3;136;400;65
" ";"Helsinge";4921;1014;400;238;330;215;52;632;1862;177
" ";"Mårum";698;112;75;29;52;53;8;75;257;37
" ";"Ramløse";2049;323;224;77;123;137;11;249;786;118
" ";"Vejby";2007;386;160;96;144;85;9;366;635;125
" ";"Tibirke";1397;242;218;69;135;93;13;131;353;142
" ";"4. FREDERIKSSUND OPSTILLINGSKREDS";48660;11530;3900;1868;4363;2439;195;6884;14555;2910
" ";"Frederikssund Syd";7248;1616;650;374;576;393;23;872;2410;331
" ";"Frederikssund Nord";5358;1284;465;209;465;293;31;670;1665;275
" ";"Slangerup";5210;990;512;254;370;290;13;691;1863;227
" ";"Skibby";5531;1228;414;164;477;315;24;867;1715;326
" ";"Jægerspris";5420;1339;423;186;506;252;19;829;1503;359
" ";"Hundested Hallen";6544;1581;520;207;741;285;16;934;1706;554
" ";"Enghave Hallen";2643;742;168;66;239;120;10;361;787;150
" ";"Rådhuset (Frederikssund opstillingskreds)";5853;1619;409;222;597;246;42;868;1447;399
" ";"Ølsted Hallen";2034;473;133;70;145;103;1;358;648;101
" ";"Melby Hallen";2819;658;206;116;247;142;16;434;811;188
" ";"5. EGEDAL OPSTILLINGSKREDS";51160;10082;6701;3478;3623;3725;127;5143;15618;2649
" ";"Værløse";6279;1330;913;559;436;448;9;548;1690;345
" ";"Hareskov";2370;367;479;228;165;216;3;127;619;165
" ";"Søndersø (Egedal opstillingskreds)";3151;456;555;310;225;258;13;216;994;124
" ";"Jonstrup";840;185;136;53;92;52;5;46;204;67
" ";"Stavnsholt";3806;608;568;338;264;325;7;255;1209;231
" ";"Solvang";4744;770;801;301;361;394;7;347;1471;292
" ";"Paltholm";2858;703;291;99;323;174;8;311;593;353
" ";"Ledøje Forsamlingshus";736;135;80;57;48;54;3;80;249;30
" ";"Ledøje-Smørum Idrætscenter";6471;1332;741;479;422;479;16;736;2027;238
" ";"Stenløse";3718;836;364;204;218;222;12;507;1232;123
" ";"Veksø";1314;259;163;79;115;80;2;160;377;77
" ";"Ganløse";2393;403;371;158;159;178;6;209;804;105
" ";"Slagslunde";1139;188;155;56;87;82;3;124;352;92
" ";"Toftehøjskolen";4323;995;411;210;244;275;12;598;1432;145
" ";"Stengårdsskolen";4087;893;340;197;273;269;8;581;1365;159
" ";"Bækkegårdsskolen";2499;566;260;127;168;184;12;258;841;82
" ";"Søsum";432;56;73;23;23;35;1;40;159;21
" ";"6. RUDERSDAL OPSTILLINGSKREDS";50794;6508;7624;4831;3007;5091;127;3528;17895;2161
" ";"Blovstrød";1825;244;281;185;125;172;9;130;618;61
" ";"Skovvang";3106;647;396;227;307;216;10;274;829;199
" ";"Lillerød";3762;581;598;354;316;285;14;278;1202;134
" ";"Lynge";3307;481;379;203;191;283;14;375;1239;140
" ";"Ravnsholt";3631;461;527;393;217;315;20;271;1328;98
" ";"Bistrup";2766;407;468;262;190;293;5;193;834;112
" ";"Toftevang";4134;572;788;351;344;358;6;296;1179;235
" ";"Kajerød";3375;601;556;296;236;275;7;260;974;168
" ";"Parkvej";2616;327;522;226;182;201;5;155;832;165
" ";"Høsterkøb";1507;108;225;174;55;206;1;67;617;53
" ";"Søllerød";2664;162;395;296;84;394;3;107;1128;94
" ";"Ny Holte";2075;216;295;221;82;224;5;129;823;79
" ";"Dronninggård";2331;156;424;291;81;327;0;75;888;89
" ";"Skovly";2268;210;343;232;98;253;2;90;947;92
" ";"Nærum";3706;614;484;311;207;288;9;342;1252;197
" ";"Gl. Holte";3451;428;419;317;169;383;9;253;1342;131
" ";"Vedbæk";4270;293;524;492;123;618;8;233;1863;114

